ECharts_Name,CN_Name
China,中国
United States,美国
Russia,俄罗斯
United Kingdom,英国
France,法国
Germany,德国
Japan,日本
Korea,韩国
India,印度
Canada,加拿大
Brazil,巴西
Australia,澳大利亚
Italy,意大利
Spain,西班牙
Mexico,墨西哥
Indonesia,印度尼西亚
Turkey,土耳其
Iran,伊朗
Thailand,泰国
Vietnam,越南
Philippines,菲律宾
Egypt,埃及
Pakistan,巴基斯坦
Nigeria,尼日利亚
Bangladesh,孟加拉国
Argentina,阿根廷
South Africa,南非
Colombia,哥伦比亚
Ukraine,乌克兰
Poland,波兰
Algeria,阿尔及利亚
Sudan,苏丹
Iraq,伊拉克
Afghanistan,阿富汗
Morocco,摩洛哥
Saudi Arabia,沙特阿拉伯
Peru,秘鲁
Venezuela,委内瑞拉
Malaysia,马来西亚
Uzbekistan,乌兹别克斯坦
Mozambique,莫桑比克
Ghana,加纳
Yemen,也门
Nepal,尼泊尔
Angola,安哥拉
Ivory Coast,科特迪瓦
North Korea,朝鲜
Cameroon,喀麦隆
Madagascar,马达加斯加
Sri Lanka,斯里兰卡
Burkina Faso,布基纳法索
Niger,尼日尔
Mali,马里
Chile,智利
Kazakhstan,哈萨克斯坦
Romania,罗马尼亚
Malawi,马拉维
Zambia,赞比亚
Syria,叙利亚
Ecuador,厄瓜多尔
Senegal,塞内加尔
Chad,乍得
Somalia,索马里
Zimbabwe,津巴布韦
Guinea,几内亚
Rwanda,卢旺达
Benin,贝宁
Tunisia,突尼斯
Burundi,布隆迪
Bolivia,玻利维亚
Belgium,比利时
Haiti,海地
Cuba,古巴
Dominican Republic,多米尼加
Czech Republic,捷克
Greece,希腊
Jordan,约旦
Portugal,葡萄牙
Azerbaijan,阿塞拜疆
Sweden,瑞典
Hungary,匈牙利
Belarus,白俄罗斯
United Arab Emirates,阿联酋
Honduras,洪都拉斯
Israel,以色列
Tajikistan,塔吉克斯坦
Austria,奥地利
Switzerland,瑞士
Papua New Guinea,巴布亚新几内亚
Togo,多哥
Sierra Leone,塞拉利昂
Bulgaria,保加利亚
Serbia,塞尔维亚
Laos,老挝
Paraguay,巴拉圭
Libya,利比亚
Lebanon,黎巴嫩
Nicaragua,尼加拉瓜
Kyrgyzstan,吉尔吉斯斯坦
El Salvador,萨尔瓦多
Turkmenistan,土库曼斯坦
Singapore,新加坡
Denmark,丹麦
Finland,芬兰
Slovakia,斯洛伐克
Norway,挪威
Oman,阿曼
Costa Rica,哥斯达黎加
Liberia,利比里亚
Ireland,爱尔兰
Central African Rep.,中非共和国
New Zealand,新西兰
Mauritania,毛里塔尼亚
Panama,巴拿马
Kuwait,科威特
Croatia,克罗地亚
Moldova,摩尔多瓦
Georgia,格鲁吉亚
Eritrea,厄立特里亚
Bosnia and Herzegovina,波黑
Uruguay,乌拉圭
Mongolia,蒙古
Armenia,亚美尼亚
Jamaica,牙买加
Qatar,卡塔尔
Albania,阿尔巴尼亚
Lithuania,立陶宛
Namibia,纳米比亚
Gambia,冈比亚
Botswana,博茨瓦纳
Gabon,加蓬
Lesotho,莱索托
North Macedonia,北马其顿
Slovenia,斯洛文尼亚
Guinea-Bissau,几内亚比绍
Latvia,拉脱维亚
Bahrain,巴林
Trinidad and Tobago,特立尼达和多巴哥
Equatorial Guinea,赤道几内亚
Estonia,爱沙尼亚
Timor-Leste,东帝汶
Mauritius,毛里求斯
Cyprus,塞浦路斯
Eswatini,斯威士兰
Djibouti,吉布提
Fiji,斐济
Comoros,科摩罗
Guyana,圭亚那
Bhutan,不丹
Solomon Islands,所罗门群岛
Montenegro,黑山
Luxembourg,卢森堡
Suriname,苏里南
Cabo Verde,佛得角
Malta,马耳他
Brunei,文莱
Belize,伯利兹
Bahamas,巴哈马
Iceland,冰岛
Vanuatu,瓦努阿图
Barbados,巴巴多斯
Sao Tome and Principe,圣多美和普林西比
Samoa,萨摩亚
Saint Lucia,圣卢西亚
Kiribati,基里巴斯
Micronesia,密克罗尼西亚
Grenada,格林纳达
Saint Vincent and the Grenadines,圣文森特和格林纳丁斯
Tonga,汤加
Seychelles,塞舌尔
Antigua and Barbuda,安提瓜和巴布达
Andorra,安道尔
Dominica,多米尼克
Saint Kitts and Nevis,圣基茨和尼维斯
Liechtenstein,列支敦士登
Monaco,摩纳哥
San Marino,圣马力诺
Palau,帕劳
Tuvalu,图瓦卢
Nauru,瑙鲁
Vatican City,梵蒂冈
Greenland,格陵兰
W. Sahara,西撒哈拉
French Guiana,法属圭亚那
Puerto Rico,波多黎各
Falkland Islands,福克兰群岛
Congo,刚果(布)
Dem. Rep. Congo,刚果(金)
Myanmar,缅甸
Cambodia,柬埔寨
Ethiopia,埃塞俄比亚
Kenya,肯尼亚
Tanzania,坦桑尼亚
Uganda,乌干达
Netherlands,荷兰
Guatemala,危地马拉
S. Sudan,南苏丹
Cote d'Ivoire,科特迪瓦
Dominican Rep.,多米尼加
Dem.Rep.Korea,朝鲜
Czech Rep.,捷克共和国
